obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
1,0.02262,0.02241,9488.652463350001,3397.6842831900008,0.022452,0.02255,2016-06-12 10:12:05,68.691,0.147,211000.0
2,0.02262,0.02242,8943.247290500001,3397.6842831900008,0.022452,0.02255,2016-06-12 10:12:14,68.691,0.147,211000.0
3,0.02262,0.02244,8966.010134670001,3392.664283190001,0.022453,0.02255,2016-06-12 10:12:22,1.57,0.147,211000.0
4,0.02263,0.02242,9479.961562030001,3159.375313190001,0.022498,0.02255,2016-06-12 10:12:31,68.719,0.147,211000.0
5,0.02263,0.02242,8934.556389180001,3393.664283190001,0.022453,0.02255,2016-06-12 10:12:39,1.57,0.147,211000.0
6,0.02263,0.02244,8976.09628066,3393.664283190001,0.022453,0.02255,2016-06-12 10:12:48,1.57,0.147,211000.0
7,0.02263,0.02244,8804.57310418,3093.6642831900017,0.022501,0.02255,2016-06-12 10:12:56,68.738,0.147,211000.0
8,0.02263,0.02242,8779.76189411,3474.5842831900004,0.022501,0.022535,2016-06-12 10:13:04,68.738,106.842,211000.0
9,0.02263,0.02245,8808.827669240001,3427.484283190001,0.022489,0.02253,2016-06-12 10:13:13,2.71,68.934,211000.0
10,0.02263,0.02245,8808.827669240001,3523.144283190001,0.022489,0.02253,2016-06-12 10:13:21,23.195,68.934,211000.0
11,0.02263,0.02245,8633.999259830001,3476.0442831900004,0.022505,0.02253,2016-06-12 10:13:29,68.844,68.934,211000.0
12,0.02263,0.02245,8767.11415793,3523.144283190001,0.022447,0.02253,2016-06-12 10:13:37,68.707,68.934,211000.0
13,0.02263,0.02245,8768.05441855,3523.0397665200007,0.022496,0.02253,2016-06-12 10:13:45,20.485,68.934,211000.0
14,0.02263,0.02245,8768.05441855,3523.0397665200007,0.022496,0.02253,2016-06-12 10:13:52,20.485,68.934,211000.0
15,0.02264,0.02246,8952.4018763,3355.828792830001,0.022507,0.022535,2016-06-12 10:14:00,144.826,106.842,211000.0
16,0.02264,0.02246,8911.880418550001,3236.335306160001,0.022507,0.022535,2016-06-12 10:14:08,144.826,106.842,211000.0
17,0.02264,0.02246,8911.880418550001,3465.6242761600006,0.022507,0.022535,2016-06-12 10:14:16,144.826,106.842,211000.0
18,0.02264,0.02245,8884.37441855,3470.6242761600006,0.022496,0.022535,2016-06-12 10:14:23,68.763,106.842,211000.0
19,0.02264,0.02245,8884.37441855,3395.72427616,0.022507,0.022535,2016-06-12 10:14:31,68.942,106.842,211000.0
20,0.02264,0.02246,8914.762628550001,3470.6242761600006,0.022507,0.022535,2016-06-12 10:14:39,68.942,106.842,211000.0
21,0.02264,0.02246,8780.70746983,3470.6242761600006,0.022507,0.022535,2016-06-12 10:14:47,68.942,55.968,211000.0
22,0.02264,0.02245,8769.44789775,3463.0842030100002,0.02249,0.022535,2016-06-12 10:14:55,68.543,55.968,211000.0
23,0.02263,0.02245,8776.72572923,3463.0842030100002,0.02249,0.022535,2016-06-12 10:15:03,89.02,55.968,211000.0
24,0.02264,0.02245,8776.72572923,3228.8997496800007,0.02249,0.022535,2016-06-12 10:15:11,89.02,55.968,211000.0
25,0.02263,0.02245,8776.72572923,3463.0842030100002,0.02249,0.022535,2016-06-12 10:15:20,89.02,55.968,211000.0
26,0.02263,0.02245,8776.72756549,3463.1887196800003,0.02249,0.022535,2016-06-12 10:15:28,89.02,55.968,211000.0
27,0.02263,0.02245,8776.72756549,3463.0842030100002,0.02249,0.022535,2016-06-12 10:15:35,89.02,55.968,211000.0
28,0.02263,0.02245,8769.44789775,3423.0842030100002,0.02249,0.022535,2016-06-12 10:15:43,89.02,55.968,211000.0
29,0.02264,0.02245,8776.72572923,3466.3626430100003,0.02249,0.022535,2016-06-12 10:15:51,89.02,55.968,211000.0
30,0.02265,0.02245,8800.6287508,3482.91964301,0.02249,0.022535,2016-06-12 10:16:00,89.02,55.968,211000.0
31,0.02265,0.02246,8836.818972550001,3267.2359521700014,0.022491,0.022535,2016-06-12 10:16:08,24.65,55.968,211000.0
32,0.02265,0.02246,8829.20108325,3489.4249221700006,0.022496,0.022535,2016-06-12 10:16:16,69.007,55.968,211000.0
33,0.02264,0.02246,8829.20108325,3497.9649575200006,0.022496,0.022535,2016-06-12 10:16:25,89.471,55.968,211000.0
34,0.02264,0.02245,8798.248173400001,3500.491918710001,0.022496,0.022535,2016-06-12 10:16:33,89.471,55.968,211000.0
35,0.02264,0.02245,8803.95387229,3480.66047871,0.022496,0.022535,2016-06-12 10:16:41,89.471,55.968,211000.0
36,0.02265,0.02245,8795.960511860001,3474.982459280001,0.022496,0.022535,2016-06-12 10:16:48,69.007,55.968,211000.0
37,0.02263,0.02245,8799.23784497,3472.15146145,0.022496,0.022535,2016-06-12 10:16:56,89.471,55.968,211000.0
38,0.02263,0.02245,8798.1219285,3432.15146145,0.022496,0.022535,2016-06-12 10:17:04,89.471,55.968,211000.0
39,0.02263,0.02245,8798.12312951,3357.3559781200006,0.022496,0.022535,2016-06-12 10:17:12,89.471,55.968,211000.0
40,0.02261,0.02245,8798.12560161,3425.0514614500007,0.022501,0.022535,2016-06-12 10:17:20,68.918,55.968,211000.0
41,0.0226,0.02245,8794.84459539,3472.558483150001,0.022502,0.022535,2016-06-12 10:17:28,9.0,55.968,211000.0
42,0.0226,0.02245,8794.84459539,3471.2954171300007,0.022502,0.022535,2016-06-12 10:17:36,20.471,55.968,211000.0
43,0.0226,0.02245,8794.84459539,3471.2954171300007,0.022503,0.022535,2016-06-12 10:17:44,9.0,55.968,211000.0
44,0.0226,0.02245,8794.84459539,3471.2954171300007,0.022503,0.022535,2016-06-12 10:17:52,9.0,55.968,211000.0
45,0.0226,0.02245,8504.133122480001,3393.4985165100006,0.022535,0.02255,2016-06-12 10:18:00,454.033,0.147,211000.0
46,0.02266,0.02249,8799.368055820001,3160.812024720001,0.022551,0.022648,2016-06-12 10:18:08,6.52,20.469,211000.0
47,0.02266,0.02249,8391.83937902,3402.7365883400007,0.022541,0.022647,2016-06-12 10:18:17,3.19,17.383,211000.0
48,0.02266,0.02251,8843.590477270001,3285.0795776400014,0.022586,0.022647,2016-06-12 10:18:25,68.254,37.851,211000.0
49,0.02266,0.02251,8844.159432010001,3415.161521210001,0.022558,0.022646,2016-06-12 10:18:33,67.755,4.241,211000.0
50,0.02266,0.02251,8844.159432010001,3441.76964549,0.022558,0.02265,2016-06-12 10:18:41,67.755,25.194,211000.0
51,0.02266,0.02251,8844.159432010001,3441.76964549,0.022558,0.022651,2016-06-12 10:18:50,67.755,25.194,211000.0
52,0.02266,0.02251,8844.159432010001,3441.8696454900005,0.022558,0.022611,2016-06-12 10:18:59,67.755,20.433,211000.0
53,0.02265,0.02251,8844.159432010001,3441.865128820001,0.022558,0.022611,2016-06-12 10:19:07,67.755,20.433,211000.0
54,0.02265,0.02251,8844.51573936,3449.7506878600007,0.022583,0.02265,2016-06-12 10:19:15,252.52,25.194,211000.0
55,0.02265,0.02251,8715.01577589,3463.0547500000002,0.022585,0.02265,2016-06-12 10:19:23,68.432,45.634,211000.0
56,0.02265,0.02251,8844.516276780001,3462.6591541900007,0.022541,0.02265,2016-06-12 10:19:32,68.482,45.634,211000.0
57,0.02265,0.02246,8953.91708133,3444.838935240001,0.022541,0.02265,2016-06-12 10:19:39,68.482,45.634,211000.0
58,0.02265,0.02246,8953.20968838,3447.2843585200008,0.022541,0.02265,2016-06-12 10:19:47,68.482,45.634,211000.0
59,0.02265,0.02248,8964.36792907,3472.7089294400002,0.022542,0.02265,2016-06-12 10:19:55,1.16,45.634,211000.0
60,0.02265,0.02248,8998.59111337,3196.9075838300014,0.022542,0.02265,2016-06-12 10:20:03,1.16,45.634,211000.0
