,index,obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans,btce_spread,k_spread,delta_btce_ask,delta_btce_bid,delta_k_ask,delta_k_bid,delta_uc_trans,k_time_prof,btce_time_prof,k_take,btce_take,sp_k_profit,sp_btce_profit
0,1,2,0.02399,0.02384,12123.450472299995,5701.624153850003,0.023880000000000002,0.023922,2016-06-03 16:41:13,1608.08,1.74,42955705.0,0.00015000000000000083,4.19999999999969e-05,0.0,0.0,-1.000000000001e-06,0.0,0.0,-0.5331743999999861,-1.1952900000000137,0,0,0.0004186559999999691,0.0014952000000000082
1,2,3,0.02399,0.023819999999999997,12091.471952409998,5688.624153850003,0.023880000000000002,0.023922,2016-06-03 16:41:21,1608.08,1.74,42955705.0,0.00017000000000000348,4.19999999999969e-05,0.0,-2.0000000000002655e-05,0.0,0.0,0.0,-0.5331743999999861,-1.1952900000000137,0,0,0.0004186559999999691,0.0016945600000000346
2,3,4,0.02399,0.023819999999999997,12123.471952409998,5633.921233350003,0.023880000000000002,0.023919,2016-06-03 16:41:29,1608.08,2.46,42955705.0,0.00017000000000000348,3.899999999999737e-05,0.0,0.0,-2.999999999999531e-06,0.0,0.0,-0.5196527999999965,-1.1952900000000137,0,0,0.0003887519999999738,0.0016945600000000346
3,4,5,0.02399,0.023819999999999997,12110.626198829998,5616.4367947300025,0.023880000000000002,0.023923,2016-06-03 16:41:37,1608.08,72.656,42955705.0,0.00017000000000000348,4.29999999999979e-05,0.0,0.0,4.000000000000531e-06,0.0,0.0,-0.537681599999993,-1.1952900000000137,0,0,0.0004286239999999791,0.0016945600000000346
4,5,6,0.024,0.023819999999999997,11771.21334883,5614.491797660003,0.023880000000000002,0.023923,2016-06-03 16:41:45,1608.08,72.656,42955705.0,0.00018000000000000307,4.29999999999979e-05,9.999999999999593e-06,0.0,0.0,0.0,0.0,-0.537681599999993,-1.1505599999999996,0,0,0.0004286239999999791,0.0017942400000000307
5,6,7,0.02399,0.023819999999999997,12100.509218829995,5623.718868400002,0.023880000000000002,0.023923,2016-06-03 16:41:53,1608.08,94.38799999999999,42955705.0,0.00017000000000000348,4.29999999999979e-05,-9.999999999999593e-06,0.0,0.0,0.0,0.0,-0.537681599999993,-1.105470000000002,0,0,0.0004286239999999791,0.0016945600000000346
6,7,8,0.02399,0.023819999999999997,12100.509218829995,5623.718868400002,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:02,1608.08,72.67,42955705.0,0.00017000000000000348,3.799999999999984e-05,0.0,0.0,-4.9999999999980616e-06,0.0,0.0,-0.5151456000000051,-1.105470000000002,0,0,0.0003787839999999984,0.0016945600000000346
7,8,9,0.02399,0.02384,12081.709218829998,5598.981364460003,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:10,1608.08,72.67,42955705.0,0.00015000000000000083,3.799999999999984e-05,0.0,2.0000000000002655e-05,0.0,0.0,0.0,-0.5151456000000051,-1.105470000000002,0,0,0.0003787839999999984,0.0014952000000000082
8,9,10,0.02399,0.02384,12100.509218829995,5609.995315130002,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:19,1608.08,72.67,42955705.0,0.00015000000000000083,3.799999999999984e-05,0.0,0.0,0.0,0.0,0.0,-0.5151456000000051,-1.1952900000000137,0,0,0.0003787839999999984,0.0014952000000000082
9,10,11,0.02399,0.02384,12100.509218829995,5662.395315130002,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:27,1608.08,72.67,42955705.0,0.00015000000000000083,3.799999999999984e-05,0.0,0.0,0.0,0.0,0.0,-0.5151456000000051,-1.1952900000000137,0,0,0.0003787839999999984,0.0014952000000000082
10,11,12,0.02399,0.02384,12100.509218829995,5662.395315130002,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:35,1608.08,72.67,42955705.0,0.00015000000000000083,3.799999999999984e-05,0.0,0.0,0.0,0.0,0.0,-0.5151456000000051,-1.1952900000000137,0,0,0.0003787839999999984,0.0014952000000000082
11,12,13,0.02399,0.023819999999999997,12100.509218829995,5664.481364460003,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:43,1608.08,72.67,42955705.0,0.00017000000000000348,3.799999999999984e-05,0.0,-2.0000000000002655e-05,0.0,0.0,0.0,-0.5151456000000051,-1.1952900000000137,0,0,0.0003787839999999984,0.0016945600000000346
12,13,14,0.02399,0.023819999999999997,12100.509218829995,5581.581364460002,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:51,1608.08,72.67,42955705.0,0.00017000000000000348,3.799999999999984e-05,0.0,0.0,0.0,0.0,0.0,-0.5151456000000051,-1.1952900000000137,0,0,0.0003787839999999984,0.0016945600000000346
13,14,15,0.02394,0.023819999999999997,12100.509218829995,5582.863813910002,0.023880000000000002,0.023918000000000002,2016-06-03 16:42:59,1608.08,72.67,42955705.0,0.00012000000000000205,3.799999999999984e-05,-5.000000000000143e-05,0.0,0.0,0.0,0.0,-0.5151456000000051,-0.9698400000000099,0,0,0.0003787839999999984,0.0011961600000000205
14,15,16,0.02399,0.023819999999999997,12125.509218829995,5653.152479850002,0.023880000000000002,0.023918000000000002,2016-06-03 16:43:07,1608.08,72.67,42955705.0,0.00017000000000000348,3.799999999999984e-05,5.000000000000143e-05,0.0,0.0,0.0,0.0,-0.5151456000000051,-1.3749299999999907,0,0,0.0003787839999999984,0.0016945600000000346
15,16,17,0.02399,0.023819999999999997,12125.509218829995,5654.852479850002,0.023880000000000002,0.023918000000000002,2016-06-03 16:43:15,1608.08,72.67,42955705.0,0.00017000000000000348,3.799999999999984e-05,0.0,0.0,0.0,0.0,0.0,-0.5151456000000051,-1.3749299999999907,0,0,0.0003787839999999984,0.0016945600000000346
16,17,18,0.02399,0.023819999999999997,12151.009218829995,5654.852479850002,0.023880000000000002,0.023918000000000002,2016-06-03 16:43:24,1608.08,72.67,42955705.0,0.00017000000000000348,3.799999999999984e-05,0.0,0.0,0.0,0.0,0.0,-0.5151456000000051,-1.3749299999999907,0,0,0.0003787839999999984,0.0016945600000000346
17,18,19,0.02395,0.023780000000000003,11971.976948029998,5599.826324500002,0.023880000000000002,0.023895,2016-06-03 16:43:32,1608.08,12.6,42955705.0,0.00016999999999999654,1.4999999999997654e-05,-4.000000000000184e-05,-3.99999999999949e-05,-2.3000000000002185e-05,0.0,0.0,-0.41148000000000123,-1.1945699999999846,0,0,0.00014951999999997663,0.0016945599999999656
