,obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_date,k_time,k_bid_vol,k_ask_vol,uc_trans,btce_spread,k_spread,delta_btce_ask,delta_btce_bid,delta_k_ask,delta_k_bid,delta_uc_trans,k_time_prof,btce_time_prof,k_take,btce_take,sp_k_profit,sp_btce_profit
0,2,0.024,0.023780000000000003,8426.29361127,6715.65465988,0.023853,0.023899,2016-06-04,17:43:29,72.926,1.16,129931819,0.00021999999999999797,4.60000000000009e-05,7.000000000000062e-05,1.0000000000003062e-05,0.0,1.9999999999985307e-06,0.0,-0.5221600000000078,-1.6277000000000024,0,0,0.000458528000000009,0.00219295999999998
1,3,0.024,0.02377,8247.23327473,6857.77165988,0.023853,0.02391,2016-06-04,17:43:38,72.926,82.2,129931819,0.00023000000000000104,5.7000000000001494e-05,0.0,-1.0000000000003062e-05,1.1000000000000593e-05,0.0,0.0,-0.5722560000000012,-1.577799999999987,0,0,0.0005681760000000148,0.0022926400000000103
2,4,0.02398,0.02377,8392.62095325,7099.29378879,0.023859,0.023924,2016-06-04,17:43:46,73.10600000000001,54.3,129931819,0.00021000000000000185,6.499999999999909e-05,-1.9999999999999185e-05,0.0,1.4000000000000123e-05,6.000000000002531e-06,0.0,-0.6174079999999977,-1.4775999999999923,0,0,0.0006479199999999909,0.0020932800000000185
3,5,0.02395,0.02377,8237.01649906,6995.56678879,0.023865,0.023909,2016-06-04,17:43:55,72.529,19.672,129931819,0.0001799999999999996,4.39999999999989e-05,-3.0000000000002247e-05,0.0,-1.5000000000001124e-05,5.999999999999062e-06,0.0,-0.5422879999999859,-1.2773999999999848,0,0,0.00043859199999998907,0.001794239999999996
4,6,0.02396,0.02377,8236.86586906,6831.46590792,0.023871,0.023909,2016-06-04,17:44:03,72.618,19.672,129931819,0.0001899999999999992,3.799999999999984e-05,9.999999999999593e-06,0.0,0.0,5.999999999999062e-06,0.0,-0.5422879999999859,-1.3274999999999821,0,0,0.0003787839999999984,0.001893919999999992
5,7,0.02396,0.023780000000000003,8205.24650745,6919.15288379,0.023872,0.02394,2016-06-04,17:44:11,195.576,65.9,129931819,0.00017999999999999614,6.799999999999862e-05,0.0,1.0000000000003062e-05,3.099999999999978e-05,1.000000000001e-06,0.0,-0.6975359999999826,-1.3274999999999821,0,0,0.0006778239999999862,0.0017942399999999615
6,8,0.02395,0.023780000000000003,8064.09227922,6919.15288379,0.023877000000000002,0.023939,2016-06-04,17:44:20,72.813,52.396,129931819,0.00016999999999999654,6.199999999999609e-05,-9.999999999999593e-06,0.0,-1.000000000001e-06,5.000000000001531e-06,0.0,-0.6925279999999923,-1.2773999999999848,0,0,0.000618015999999961,0.0016945599999999656
7,9,0.02395,0.023790000000000002,8156.65606555,6919.15288379,0.023877000000000002,0.023937,2016-06-04,17:44:28,72.813,17.38,129931819,0.00015999999999999695,5.9999999999997555e-05,0.0,9.999999999999593e-06,-1.9999999999985307e-06,0.0,0.0,-0.6825119999999941,-1.2773999999999848,0,0,0.0005980799999999757,0.0015948799999999696
8,10,0.02395,0.023790000000000002,8188.65606555,6919.15288379,0.023877000000000002,0.023937,2016-06-04,17:44:37,72.813,17.38,129931819,0.00015999999999999695,5.9999999999997555e-05,0.0,0.0,0.0,0.0,0.0,-0.6825119999999941,-1.2773999999999848,0,0,0.0005980799999999757,0.0015948799999999696
9,11,0.02395,0.023790000000000002,8077.8162887,6919.15288379,0.023877000000000002,0.023934999999999998,2016-06-04,17:44:45,72.813,17.21,129931819,0.00015999999999999695,5.7999999999995555e-05,0.0,0.0,-2.000000000002e-06,0.0,0.0,-0.667503999999991,-1.2773999999999848,0,0,0.0005781439999999557,0.0015948799999999696
10,12,0.02395,0.023790000000000002,8077.8162887,6916.27288379,0.023877000000000002,0.023933000000000003,2016-06-04,17:44:54,72.813,17.21,129931819,0.00015999999999999695,5.6000000000000494e-05,0.0,0.0,-1.9999999999950613e-06,0.0,0.0,-0.5776160000000342,-1.2773999999999848,0,0,0.0005582080000000049,0.0015948799999999696
