obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_date,k_time,k_bid_vol,k_ask_vol,uc_trans

1,0.02399,0.02384,11951.7264723,5665.28519525,0.02388,0.023923,2016-06-03,16:41:05,1608.08,72.656,42955705

2,0.02399,0.02384,12123.4504723,5701.62415385,0.02388,0.023922,2016-06-03,16:41:13,1608.08,1.74,42955705

3,0.02399,0.02382,12091.47195241,5688.62415385,0.02388,0.023922,2016-06-03,16:41:21,1608.08,1.74,42955705

4,0.02399,0.02382,12123.47195241,5633.92123335,0.02388,0.023919,2016-06-03,16:41:29,1608.08,2.46,42955705

5,0.02399,0.02382,12110.62619883,5616.43679473,0.02388,0.023923,2016-06-03,16:41:37,1608.08,72.656,42955705

6,0.024,0.02382,11771.21334883,5614.49179766,0.02388,0.023923,2016-06-03,16:41:45,1608.08,72.656,42955705

7,0.02399,0.02382,12100.50921883,5623.7188684,0.02388,0.023923,2016-06-03,16:41:53,1608.08,94.388,42955705

8,0.02399,0.02382,12100.50921883,5623.7188684,0.02388,0.023918,2016-06-03,16:42:02,1608.08,72.67,42955705

9,0.02399,0.02384,12081.70921883,5598.98136446,0.02388,0.023918,2016-06-03,16:42:10,1608.08,72.67,42955705

10,0.02399,0.02384,12100.50921883,5609.99531513,0.02388,0.023918,2016-06-03,16:42:19,1608.08,72.67,42955705

11,0.02399,0.02384,12100.50921883,5662.39531513,0.02388,0.023918,2016-06-03,16:42:27,1608.08,72.67,42955705

12,0.02399,0.02384,12100.50921883,5662.39531513,0.02388,0.023918,2016-06-03,16:42:35,1608.08,72.67,42955705

13,0.02399,0.02382,12100.50921883,5664.48136446,0.02388,0.023918,2016-06-03,16:42:43,1608.08,72.67,42955705

14,0.02399,0.02382,12100.50921883,5581.58136446,0.02388,0.023918,2016-06-03,16:42:51,1608.08,72.67,42955705

15,0.02394,0.02382,12100.50921883,5582.86381391,0.02388,0.023918,2016-06-03,16:42:59,1608.08,72.67,42955705

16,0.02399,0.02382,12125.50921883,5653.15247985,0.02388,0.023918,2016-06-03,16:43:07,1608.08,72.67,42955705

17,0.02399,0.02382,12125.50921883,5654.85247985,0.02388,0.023918,2016-06-03,16:43:15,1608.08,72.67,42955705

18,0.02399,0.02382,12151.00921883,5654.85247985,0.02388,0.023918,2016-06-03,16:43:24,1608.08,72.67,42955705

19,0.02395,0.02378,11971.97694803,5599.8263245,0.02388,0.023895,2016-06-03,16:43:32,1608.08,12.6,42955705

20,0.02395,0.02378,12139.66579803,5823.30979581,0.02388,0.023895,2016-06-03,16:43:40,1608.08,12.6,42955705

21,0.02395,0.02378,12139.66579803,5797.93918374,0.02388,0.023895,2016-06-03,16:43:50,1608.08,12.6,42955705

22,0.02395,0.02378,12139.66579803,5797.93918374,0.02388,0.023895,2016-06-03,16:43:58,1608.08,12.6,42955705

23,0.02395,0.02378,12139.66579803,5797.93918374,0.02388,0.023895,2016-06-03,16:44:06,1608.08,12.6,42955705

24,0.02395,0.02378,12139.66579803,5797.93918374,0.02388,0.023895,2016-06-03,16:44:14,1608.08,12.6,42955705

25,0.02395,0.02378,12114.16579803,5797.93918374,0.02388,0.02389,2016-06-03,16:44:22,1608.08,72.041,42955705

26,0.02395,0.02378,12139.66579803,5797.93918374,0.02388,0.023895,2016-06-03,16:44:31,1608.08,12.6,42955705

27,0.02395,0.02378,12139.66579803,5797.93918374,0.02388,0.02389,2016-06-03,16:44:39,1608.08,72.006,42955705

28,0.02395,0.02378,12139.66579803,5797.93918374,0.02388,0.02389,2016-06-03,16:44:47,1608.08,72.402,42955705

29,0.02395,0.02378,12139.66579803,5801.75176588,0.02388,0.023895,2016-06-03,16:44:56,1608.08,12.6,42955705

30,0.02394,0.02378,12139.66579803,5958.01941714,0.02388,0.023907,2016-06-03,16:45:05,1608.08,163.839,42955705

31,0.02394,0.02378,12120.86579803,5946.07285034,0.02388,0.023902,2016-06-03,16:45:14,1608.08,153.71,42955705

32,0.02397,0.0238,12114.16579803,5824.99059557,0.02388,0.023902,2016-06-03,16:45:23,1509.943,225.815,42955705

33,0.02395,0.02375,12044.13779803,5978.01638901,0.02388,0.023899,2016-06-03,16:45:31,1488.941,538.683,42955705

34,0.02392,0.02375,11932.38194803,5977.09018608,0.02388,0.023889,2016-06-03,16:45:39,719.291,138.251,42955705

35,0.02392,0.02375,11996.28377803,5797.15592861,0.023835,0.02388,2016-06-03,16:45:48,72.326,348.501,42955705

36,0.02389,0.02374,12002.00377803,5798.75187928,0.023791,0.02387,2016-06-03,16:45:56,62.897,71.993,42955705

37,0.02389,0.02374,11960.31731557,5819.5967658,0.023791,0.02387,2016-06-03,16:46:05,62.897,71.993,42955705

38,0.02389,0.02374,11960.31731557,5819.5967658,0.023791,0.02384,2016-06-03,16:46:13,62.897,170,42955705

39,0.02389,0.02374,11960.31731557,5757.72249973,0.023791,0.023854,2016-06-03,16:46:21,32.793,72.331,42955705

40,0.02403,0.02374,11910.61005921,5744.72749973,0.02379,0.023854,2016-06-03,16:46:29,102.158,72.331,42955705

41,0.02398,0.02374,11993.56120304,5738.48581993,0.023717,0.02383,2016-06-03,16:46:37,63.093,170,42955705

42,0.02395,0.02375,12110.31680644,5880.25469488,0.023718,0.023798,2016-06-03,16:46:45,36.2,176.29,42955705

43,0.02395,0.02375,12055.06085644,5921.93204281,0.023718,0.023797,2016-06-03,16:46:54,36.2,44.28,42955705

44,0.02392,0.02375,11936.92118975,5944.71476661,0.023719,0.023797,2016-06-03,16:47:02,8.203,44.28,42955705

45,0.0239,0.02364,11767.36935929,5936.92530535,0.023672,0.023707,2016-06-03,16:47:20,14.48,176.29,42955705

46,0.02388,0.02363,12173.110045,5976.33838939,0.023671,0.023707,2016-06-03,16:47:29,2405.204,176.29,42955705

47,0.02388,0.02365,11956.10950898,5985.51677347,0.023671,0.023769,2016-06-03,16:47:38,2403.704,145.003,42955705

48,0.02386,0.02361,12205.18581249,5845.7373092,0.023671,0.023718,2016-06-03,16:47:46,2253.704,1.34,42955705

49,0.02386,0.02363,12041.33970189,5854.13529403,0.023671,0.023718,2016-06-03,16:47:54,1675.474,32.068,42955705

50,0.02382,0.02359,11914.14852572,5944.66331981,0.023671,0.023768,2016-06-03,16:48:03,1675.474,197.846,42955705

51,0.02382,0.02363,12111.19654896,5740.26970273,0.023677,0.023768,2016-06-03,16:48:11,3.11,50,42955705

52,0.02387,0.02365,12190.18428431,5731.9717179,0.023656,0.023768,2016-06-03,16:48:20,7.757,50,42955705

53,0.02385,0.0236,12021.68115454,5608.24013648,0.02366,0.023757,2016-06-03,16:48:28,36.314,3.01,42955705

54,0.02385,0.0236,12059.49032491,5673.69320074,0.02358,0.023757,2016-06-03,16:48:36,0.579,3.01,42955705

55,0.02383,0.02358,12105.5738452,5777.83219404,0.023581,0.02375,2016-06-03,16:48:45,51.913,21.187,42955705

56,0.02381,0.02358,12065.46165172,5915.3447505,0.02358,0.023724,2016-06-03,16:48:53,0.579,27.12,42955705

57,0.02379,0.02357,12022.09183343,5910.6300955,0.02358,0.023717,2016-06-03,16:49:02,0.579,12.904,42955705

58,0.02379,0.02357,12022.09183343,5625.80301722,0.023571,0.023706,2016-06-03,16:49:12,66.454,35.04,42955705

59,0.02378,0.02356,12030.0424994,5834.0015388,0.023583,0.0237,2016-06-03,16:49:20,78.699,37.154,42955705

60,0.02376,0.02358,12024.32717412,5699.98305173,0.023584,0.023698,2016-06-03,16:49:28,63.449,9.19,42955705

61,0.02376,0.02358,12064.87999713,5699.98305173,0.02359,0.023697,2016-06-03,16:49:36,170,28.1,42955705

62,0.02378,0.02359,12036.92485581,5781.82686506,0.02359,0.023699,2016-06-03,16:49:44,376.407,26.975,42955705

63,0.02376,0.02359,12034.01560581,5781.55480173,0.023592,0.0237,2016-06-03,16:49:54,374.49,72.938,42955705

64,0.02376,0.02359,12211.80167106,5784.17150592,0.023641,0.0237,2016-06-03,16:50:02,48.593,72.938,42955705

65,0.02376,0.02359,11844.66559801,5781.55480173,0.023581,0.0237,2016-06-03,16:50:10,18.81,72.938,42955705

66,0.02376,0.02359,12026.37459306,5781.55480173,0.023581,0.0237,2016-06-03,16:50:18,36.407,72.938,42955705

67,0.02375,0.02358,12096.619789,5768.33859384,0.023581,0.0237,2016-06-03,16:50:27,36.407,72.938,42955705

68,0.02375,0.02359,12099.89991992,5768.33859384,0.023582,0.0237,2016-06-03,16:50:36,384.56,72.938,42955705

69,0.02374,0.02359,12173.73993877,5691.35403467,0.0236,0.0237,2016-06-03,16:50:46,2.31,72.938,42955705

70,0.02374,0.02358,11885.14428886,5760.78840448,0.0236,0.023699,2016-06-03,16:50:55,2.31,1.225,42955705

71,0.02374,0.02359,11951.61530054,5797.94755685,0.023524,0.023695,2016-06-03,16:51:03,132.512,72.736,42955705

72,0.02375,0.02359,12012.43708017,5800.01568298,0.023533,0.023699,2016-06-03,16:51:13,145.536,1.225,42955705

73,0.02375,0.02358,11940.82297017,5800.01568298,0.023535,0.023682,2016-06-03,16:51:22,174.857,21.855,42955705

74,0.02377,0.02359,12211.67718906,5747.86568703,0.023567,0.023677,2016-06-03,16:51:30,18.33,73.115,42955705

75,0.02375,0.02359,11983.46871906,5926.2883537,0.023565,0.023677,2016-06-03,16:51:40,202.97,73.115,42955705

76,0.02376,0.02357,12053.26835337,5633.88602382,0.02356,0.023677,2016-06-03,16:51:49,50,91.343,42955705

77,0.02369,0.02357,12292.68660337,5827.50860543,0.023677,0.023699,2016-06-03,16:51:58,33.735,21.836,42955705

78,0.02375,0.02357,12238.74191282,5758.72903786,0.023677,0.023695,2016-06-03,16:52:06,33.735,72.587,42955705

79,0.02369,0.02358,12202.1854857,5702.62303786,0.023677,0.023692,2016-06-03,16:52:15,33.735,77.7,42955705

80,0.02369,0.02355,12283.54461998,5725.42924079,0.023677,0.023684,2016-06-03,16:52:23,33.735,72.778,42955705

81,0.02369,0.02356,12073.11199263,5725.42924079,0.023677,0.023684,2016-06-03,16:52:31,5.085,72.778,42955705

82,0.02369,0.02357,12133.71357686,5665.18316079,0.023677,0.023684,2016-06-03,16:52:39,5.085,94.614,42955705

83,0.02368,0.02357,12092.54242298,5827.21203786,0.023441,0.023684,2016-06-03,16:52:48,63.836,72.778,42955705

84,0.02369,0.02357,12099.58941409,5820.13563969,0.023496,0.023681,2016-06-03,16:52:56,27.28,169.332,42955705

85,0.02369,0.02357,11982.96453141,5820.13563969,0.023497,0.023676,2016-06-03,16:53:04,153.355,72.833,42955705

86,0.02383,0.02357,12013.37152656,5815.6512408,0.023497,0.023681,2016-06-03,16:53:12,153.355,149.332,42955705

87,0.02367,0.02358,12129.04622734,5820.1512408,0.023499,0.023645,2016-06-03,16:53:20,149.446,72.998,42955705

88,0.02367,0.02358,12133.63092333,5820.1512408,0.023499,0.023645,2016-06-03,16:53:28,185.873,72.998,42955705

89,0.02367,0.02356,12127.76765479,5820.1512408,0.023502,0.023645,2016-06-03,16:53:36,155.843,72.998,42955705

90,0.02369,0.02356,12127.76765479,5820.1512408,0.023505,0.023605,2016-06-03,16:53:45,36.446,72.852,42955705

91,0.02369,0.02357,12026.8944181,5820.1512408,0.023509,0.023605,2016-06-03,16:53:53,162.951,72.852,42955705

92,0.02369,0.02357,11991.25338869,5820.1512408,0.023511,0.023605,2016-06-03,16:54:01,173.791,72.852,42955705

93,0.02369,0.02357,12099.1004667,5810.02880506,0.023513,0.023605,2016-06-03,16:54:09,167.393,72.852,42955705

94,0.02383,0.02357,12099.1004667,5820.42880506,0.023513,0.023605,2016-06-03,16:54:18,167.393,72.852,42955705

95,0.02382,0.02358,12078.18239421,5820.42880506,0.023513,0.023605,2016-06-03,16:54:26,203.864,72.852,42955705

96,0.02382,0.02358,12078.18239421,5820.42880506,0.023513,0.023605,2016-06-03,16:54:34,203.864,72.852,42955705

97,0.02382,0.02358,12078.18239421,5820.42880506,0.023513,0.023605,2016-06-03,16:54:42,203.864,72.852,42955705

98,0.02382,0.02358,12075.91004248,5830.42880506,0.023513,0.023605,2016-06-03,16:54:50,203.864,72.852,42955705

99,0.02382,0.02358,12065.6075597,5830.42880506,0.023514,0.0236,2016-06-03,16:54:58,15.451,11.9,42955705

100,0.02382,0.02358,11831.8588097,5830.42880506,0.023531,0.023595,2016-06-03,16:55:07,155.665,72.856,42955705

101,0.02382,0.02358,11666.71057657,5838.90235596,0.023531,0.023595,2016-06-03,16:55:15,192.094,72.856,42955705

102,0.02382,0.02358,11666.71057657,5838.90235596,0.023533,0.023595,2016-06-03,16:55:23,157.087,72.856,42955705

103,0.02382,0.02357,11666.75611505,5838.90235596,0.023533,0.023595,2016-06-03,16:55:32,157.087,72.856,42955705

104,0.02382,0.02357,11684.49180148,5830.42880506,0.023533,0.023595,2016-06-03,16:55:40,157.087,72.856,42955705

105,0.02382,0.02357,11666.83891505,5830.42880506,0.023533,0.023595,2016-06-03,16:55:49,193.506,72.856,42955705

106,0.02382,0.02356,11665.82355202,5830.42880506,0.023533,0.023595,2016-06-03,16:55:57,193.506,72.856,42955705

107,0.02382,0.02356,12065.78147532,5830.42880506,0.023533,0.023595,2016-06-03,16:56:05,193.506,72.856,42955705

108,0.02382,0.02356,11996.68147532,5830.42880506,0.023533,0.023595,2016-06-03,16:56:13,193.506,72.856,42955705

109,0.02357,0.02356,12046.92053515,5830.42880506,0.023533,0.023595,2016-06-03,16:56:21,193.506,72.856,42955705

110,0.02382,0.02357,12086.71865263,5830.52880506,0.023533,0.023595,2016-06-03,16:56:29,193.506,72.856,42955705

111,0.02382,0.02355,11790.87052463,5830.42880506,0.023533,0.02355,2016-06-03,16:56:38,193.506,11.9,42955705

112,0.02378,0.02354,11975.94669358,5818.45760213,0.023533,0.02355,2016-06-03,16:56:46,193.506,5.385,42955705

113,0.02377,0.02355,11685.10570343,5826.16380506,0.023533,0.02355,2016-06-03,16:56:54,193.506,5.385,42955705

114,0.02377,0.02355,12073.59846426,5826.16380506,0.023533,0.02355,2016-06-03,16:57:03,193.506,5.385,42955705

115,0.02377,0.02353,11673.67191182,5826.16380506,0.023525,0.02356,2016-06-03,16:57:11,36.429,5.4,42955705

116,0.02377,0.02353,11878.23734496,5826.16380506,0.023483,0.02356,2016-06-03,16:57:19,138.961,5.4,42955705

117,0.02377,0.02353,11991.41011629,5818.57655404,0.023484,0.02356,2016-06-03,16:57:28,225.58,5.4,42955705

118,0.02377,0.02354,11403.68138033,5816.63305331,0.023487,0.02356,2016-06-03,16:57:36,160.996,5.4,42955705

119,0.02379,0.02354,11757.96062497,5976.88235624,0.023528,0.023595,2016-06-03,16:57:44,190.134,66.766,42955705

120,0.02379,0.02355,11590.64711277,5976.88235624,0.023541,0.023595,2016-06-03,16:57:54,166.683,66.766,42955705

121,0.02376,0.02356,11793.57394546,5947.35674873,0.02355,0.023595,2016-06-03,16:58:02,36.403,66.766,42955705

122,0.02371,0.02353,11762.96863789,5876.21835624,0.023541,0.023595,2016-06-03,16:58:11,166.683,66.766,42955705

123,0.02381,0.02356,12082.36076565,5816.63305331,0.023541,0.023595,2016-06-03,16:58:19,166.683,64.266,42955705

124,0.02381,0.02356,11981.46796224,5824.43925624,0.023541,0.023595,2016-06-03,16:58:27,166.683,64.266,42955705

125,0.02381,0.02357,12079.52582519,5824.33835624,0.023541,0.023595,2016-06-03,16:58:36,166.683,64.266,42955705

126,0.02381,0.02354,12079.66267278,5824.33835624,0.023541,0.02356,2016-06-03,16:58:44,166.683,5.4,42955705

127,0.02381,0.02354,12035.2167659,5824.33835624,0.023541,0.02356,2016-06-03,16:58:52,166.683,5.4,42955705

128,0.02381,0.02355,12064.8624593,5824.33835624,0.023542,0.02356,2016-06-03,16:59:02,15.282,2.4,42955705

129,0.02381,0.02355,12065.21232855,5824.33835629,0.023542,0.023595,2016-06-03,16:59:10,15.282,33.605,42955705

130,0.02381,0.02355,11957.65005714,5824.33835629,0.023542,0.023645,2016-06-03,16:59:18,15.282,73.006,42955705

131,0.02381,0.02355,11957.65005714,5824.33835629,0.023542,0.023645,2016-06-03,16:59:26,15.282,94.87,42955705

132,0.02381,0.02355,11957.65005714,5690.67762876,0.023542,0.023645,2016-06-03,16:59:34,15.282,94.87,42955705

133,0.02381,0.02355,11957.65005714,5620.21013876,0.023542,0.023645,2016-06-03,16:59:43,15.282,94.87,42955705

134,0.02381,0.02355,11957.65005714,5815.63135629,0.023542,0.023645,2016-06-03,16:59:51,15.282,94.87,42955705

135,0.02381,0.02355,11957.65005714,5815.63135629,0.023543,0.023645,2016-06-03,16:59:59,0.5,73.006,42955705

136,0.02381,0.02355,11957.65005714,5815.63135629,0.02355,0.023645,2016-06-03,17:00:08,31.85,94.747,42955705

137,0.02381,0.02355,11957.65005714,5815.63135629,0.023551,0.023645,2016-06-03,17:00:16,0.5,73.006,42955705

138,0.02381,0.02355,11957.65005714,5815.63135629,0.023551,0.023645,2016-06-03,17:00:25,0.5,73.006,42955705

139,0.02381,0.02355,11945.71482714,5815.63135629,0.023551,0.023645,2016-06-03,17:00:34,38.679,73.006,42955705

140,0.02381,0.02355,11950.89550757,5846.61070629,0.023575,0.023645,2016-06-03,17:00:43,1.75,71.806,42955705

141,0.02381,0.02357,11969.62261471,5824.57570629,0.023575,0.023645,2016-06-03,17:00:52,1.75,71.206,42955705

142,0.02381,0.02359,11975.62261471,5852.47470626,0.023553,0.023645,2016-06-03,17:01:01,36.904,70.606,42955705

143,0.02381,0.02359,11894.20204753,5644.3307663,0.023575,0.023645,2016-06-03,17:01:09,221.82,70.005,42955705

144,0.02385,0.02353,11962.9102094,5915.37704872,0.023571,0.023645,2016-06-03,17:01:17,233.48,68.805,42955705

145,0.02385,0.02362,11957.13387692,5826.88570624,0.023553,0.023739,2016-06-03,17:01:26,0.5,41.463,42955705

146,0.02385,0.02362,11959.39387692,5826.88570624,0.02367,0.023698,2016-06-03,17:01:34,10.626,10.687,42955705

147,0.02387,0.02362,11981.78825681,5860.61742602,0.023698,0.023728,2016-06-03,17:01:43,0.556,73.006,42955705

148,0.02387,0.02357,11629.53008039,5828.53788996,0.023722,0.023727,2016-06-03,17:01:51,236.54,62.058,42955705

149,0.02387,0.02365,11781.38167657,5859.20476826,0.023722,0.023727,2016-06-03,17:02:00,138.473,61.458,42955705

150,0.02387,0.02362,11815.51852921,5851.49946533,0.023723,0.023879,2016-06-03,17:02:08,20.266,149.801,42955705

151,0.02387,0.02361,12051.72703014,5874.38776826,0.023722,0.023877,2016-06-03,17:02:16,90.833,152.467,42955705

152,0.02387,0.02361,11923.77703014,5991.51370626,0.023673,0.023871,2016-06-03,17:02:24,223.46,139.25,42955705

153,0.02387,0.02359,11750.68012014,5991.51370626,0.023719,0.023797,2016-06-03,17:02:32,215.14,41.463,42955705

154,0.02385,0.02361,11951.35885014,6024.12370626,0.023719,0.023792,2016-06-03,17:02:40,208.065,175.923,42955705

155,0.02385,0.0236,11868.216269,5886.65560629,0.023531,0.023786,2016-06-03,17:02:48,234.006,170.414,42955705

156,0.02383,0.0236,11577.76157744,6149.39409868,0.023541,0.023635,2016-06-03,17:02:57,140.561,2.324,42955705

157,0.02382,0.0236,11978.72672697,6139.39409868,0.023582,0.023635,2016-06-03,17:03:06,36.267,1.724,42955705

158,0.02381,0.0236,11978.5213179,6141.64407368,0.023583,0.023635,2016-06-03,17:03:14,24.465,0.524,42955705

159,0.0238,0.0236,11978.5213179,6014.62107368,0.023583,0.023734,2016-06-03,17:03:23,60.732,72.713,42955705

160,0.0238,0.0236,11978.5213179,6014.62107368,0.023584,0.023635,2016-06-03,17:03:31,24.465,73.029,42955705

161,0.02378,0.0236,11978.5213179,5926.68243368,0.023584,0.023635,2016-06-03,17:03:39,36.362,73.029,42955705

162,0.02375,0.0236,11978.5213179,5926.69150013,0.023584,0.023635,2016-06-03,17:03:48,36.362,73.029,42955705

163,0.02375,0.0236,11978.5213179,5880.94293532,0.023585,0.023635,2016-06-03,17:03:58,23.91,73.029,42955705

164,0.02375,0.0236,11978.5213179,5907.26314513,0.023596,0.023635,2016-06-03,17:04:06,23.323,73.029,42955705

165,0.02375,0.0236,11978.5213179,5907.16314513,0.023596,0.023635,2016-06-03,17:04:14,23.323,73.029,42955705

166,0.02375,0.0236,11941.91119382,5907.16314513,0.023568,0.023635,2016-06-03,17:04:22,25.562,73.029,42955705

167,0.02375,0.0236,11979.02246656,5907.16314513,0.023568,0.023719,2016-06-03,17:04:31,0.5,2.88,42955705

168,0.02375,0.02361,11913.28526599,5907.16314513,0.023618,0.02365,2016-06-03,17:04:38,10.368,37.6,42955705

169,0.02375,0.02361,11559.80631535,5907.16314513,0.023631,0.02365,2016-06-03,17:04:47,10.368,34.867,42955705

170,0.02375,0.02361,11562.17656125,5897.16314513,0.023631,0.02365,2016-06-03,17:04:55,10.368,34.867,42955705

171,0.02375,0.02361,11562.17656125,5897.16314513,0.023636,0.02365,2016-06-03,17:05:05,36.334,34.867,42955705

172,0.02375,0.02356,11960.68185263,5897.16314513,0.023636,0.02365,2016-06-03,17:05:13,36.334,34.867,42955705

173,0.02375,0.02356,11956.31409239,5897.16314513,0.023636,0.023719,2016-06-03,17:05:21,36.334,2.88,42955705

174,0.02375,0.02356,11829.20600208,5897.16314513,0.023636,0.023717,2016-06-03,17:05:29,36.334,34.01,42955705

175,0.02372,0.02356,11958.34380824,5921.6384469,0.023573,0.023706,2016-06-03,17:05:37,57.412,11.82,42955705

176,0.02374,0.02357,11994.41228993,5894.75722554,0.023573,0.023707,2016-06-03,17:05:45,36.334,72.863,42955705

177,0.02374,0.02357,11585.43839569,5746.40722554,0.023573,0.023707,2016-06-03,17:05:54,36.334,72.863,42955705

178,0.02374,0.02357,11939.26974405,5738.70192261,0.023573,0.023706,2016-06-03,17:06:03,36.334,2.66,42955705

179,0.02374,0.02357,11580.97709567,6002.79063187,0.023573,0.023707,2016-06-03,17:06:11,36.334,72.863,42955705

180,0.02374,0.02357,11621.45133181,5774.27722554,0.023568,0.023707,2016-06-03,17:06:20,57.436,72.863,42955705

181,0.02375,0.02357,11621.45133181,5773.40701573,0.023568,0.023707,2016-06-03,17:06:29,57.436,72.863,42955705

182,0.02375,0.02357,11617.963172,5804.90722554,0.023568,0.023706,2016-06-03,17:06:38,57.436,41.93,42955705

183,0.02374,0.02357,11577.84699706,5824.35208131,0.023568,0.0237,2016-06-03,17:06:46,57.436,203.318,42955705

184,0.02373,0.02356,11618.46123465,5948.49908131,0.023568,0.023688,2016-06-03,17:06:54,57.436,157.264,42955705

185,0.02371,0.02354,11625.82517832,5968.46631131,0.023551,0.023659,2016-06-03,17:07:02,73.367,73.196,42955705

186,0.02375,0.02354,11584.83586652,5856.69438171,0.023551,0.023653,2016-06-03,17:07:11,73.367,72.944,42955705

187,0.02374,0.02354,11639.18550809,5937.01803923,0.023551,0.023653,2016-06-03,17:07:20,73.367,72.944,42955705

188,0.02373,0.02354,11641.61651809,5870.20059273,0.023551,0.023653,2016-06-03,17:07:28,36.363,72.944,42955705

189,0.02373,0.02354,11588.17033652,5862.4943898,0.023551,0.023653,2016-06-03,17:07:36,36.363,72.944,42955705

190,0.02373,0.02354,11644.57033652,5932.64109814,0.023551,0.02364,2016-06-03,17:07:45,36.363,190,42955705

191,0.02373,0.02354,11644.57033652,5836.34355273,0.023551,0.023635,2016-06-03,17:07:53,36.363,73.203,42955705

192,0.0237,0.02354,11849.44864162,6100.91839137,0.023551,0.02363,2016-06-03,17:08:02,36.363,72.712,42955705

193,0.0237,0.02354,11981.09421099,6085.44715947,0.023551,0.02364,2016-06-03,17:08:11,36.363,73.258,42955705

194,0.0237,0.02355,11799.64446877,6078.99315134,0.023552,0.02364,2016-06-03,17:08:19,30.139,73.258,42955705

195,0.02374,0.02353,11620.34950516,6071.18694841,0.023566,0.02364,2016-06-03,17:08:27,36.383,73.258,42955705

196,0.02354,0.02353,11612.31414055,5787.43968934,0.023566,0.023639,2016-06-03,17:08:35,36.383,24.09,42955705

197,0.02354,0.02353,11612.27945942,5787.43968934,0.023566,0.023634,2016-06-03,17:08:44,36.383,73.105,42955705

198,0.02354,0.02353,11621.27875738,5778.31865738,0.023566,0.023634,2016-06-03,17:08:53,36.383,73.105,42955705

199,0.02354,0.02353,11826.00972051,5778.41955738,0.023526,0.023629,2016-06-03,17:09:02,36.368,72.701,42955705

200,0.02354,0.02353,11621.57609383,5778.41955738,0.023527,0.023633,2016-06-03,17:09:10,145.536,1.69,42955705

201,0.02374,0.02354,11459.46089383,5833.20561369,0.023559,0.023634,2016-06-03,17:09:19,182.19,73.295,42955705

202,0.02374,0.02354,11858.8039609,5888.03016828,0.0236,0.023633,2016-06-03,17:09:27,185.61,42.814,42955705

203,0.02374,0.02355,11639.99585777,5827.26769275,0.0236,0.023633,2016-06-03,17:09:35,185.61,42.814,42955705

204,0.02374,0.02355,12025.0936309,5834.81377275,0.0236,0.023633,2016-06-03,17:09:43,185.61,42.814,42955705

