obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
1,0.02374,0.02364,9406.418661649997,2007.8543896299998,0.023666,0.02368,2016-06-11 08:57:30,845.095,109.0,211000.0
2,0.02377,0.02364,8947.995097439996,1985.2462791899998,0.023667,0.02368,2016-06-11 08:57:39,33.94,109.0,211000.0
3,0.02377,0.02364,9405.193755359996,2044.1362922999997,0.023671,0.02368,2016-06-11 08:57:46,72.106,109.0,211000.0
4,0.02377,0.02364,9405.193755359996,2044.1362922999997,0.023672,0.02368,2016-06-11 08:57:55,27.918,109.0,211000.0
5,0.02377,0.02364,9208.123259459999,2046.1579179499995,0.023675,0.02368,2016-06-11 08:58:03,72.205,109.0,211000.0
6,0.02377,0.02364,9208.123259459999,2040.0579179499998,0.023676,0.02368,2016-06-11 08:58:11,17.698,109.0,211000.0
7,0.02377,0.02364,9208.123259459999,1963.8935379499997,0.023676,0.02368,2016-06-11 08:58:19,17.698,107.757,211000.0
8,0.02378,0.02364,9403.230342429997,2040.3059046799997,0.023676,0.02368,2016-06-11 08:58:27,17.698,107.757,211000.0
9,0.02377,0.02364,9385.7746249,2023.1935268899997,0.023676,0.02368,2016-06-11 08:58:34,17.698,107.757,211000.0
10,0.02378,0.02364,8987.042650129997,2043.4182056099999,0.023666,0.02368,2016-06-11 08:58:42,845.095,107.757,211000.0
11,0.02378,0.02364,8987.042650129997,2000.65829954,0.023666,0.02368,2016-06-11 08:58:51,845.095,107.757,211000.0
12,0.02378,0.02364,9208.40438608,2043.4182053099998,0.023667,0.02368,2016-06-11 08:58:59,32.366,107.757,211000.0
13,0.02378,0.02364,8987.256382369997,2042.4182053099998,0.023671,0.0237,2016-06-11 08:59:06,71.575,4.8,211000.0
14,0.02378,0.02364,8987.256382369997,2042.4182052999995,0.023672,0.0237,2016-06-11 08:59:14,33.928,4.8,211000.0
15,0.02377,0.02364,9403.723223369996,2041.4202052999995,0.023677,0.0237,2016-06-11 08:59:22,72.146,4.8,211000.0
16,0.02377,0.02364,9581.058954429998,2025.3078252999999,0.023677,0.0237,2016-06-11 08:59:30,72.146,4.8,211000.0
17,0.02377,0.02364,9581.058954429998,2039.3986592699994,0.023683,0.0237,2016-06-11 08:59:38,72.0,4.8,211000.0
18,0.02377,0.02364,9581.058954429998,2019.3986592699996,0.023684,0.0237,2016-06-11 08:59:46,33.36,4.8,211000.0
19,0.02377,0.02364,9403.700811069997,2019.3986592699996,0.023684,0.0237,2016-06-11 08:59:54,33.26,4.7,211000.0
20,0.02377,0.02364,8985.485505229995,2019.3986592699996,0.023677,0.0237,2016-06-11 09:00:02,71.8,4.7,211000.0
21,0.02377,0.02364,9029.646602599996,2019.3986592699996,0.023677,0.0237,2016-06-11 09:00:10,71.8,4.7,211000.0
22,0.02377,0.02364,9250.455406309997,2019.4086592699996,0.023677,0.0237,2016-06-11 09:00:18,71.8,4.7,211000.0
23,0.02376,0.02364,8985.130463259997,2064.1025292699996,0.023677,0.0237,2016-06-11 09:00:26,71.8,4.7,211000.0
24,0.02375,0.02364,8985.711683259997,2027.6710446299999,0.023671,0.0237,2016-06-11 09:00:34,71.528,4.7,211000.0
25,0.02375,0.02364,9444.760207069998,2022.4282053,0.023671,0.0237,2016-06-11 09:00:42,71.528,4.7,211000.0
26,0.02376,0.02364,9444.760207069998,2029.3882053,0.023671,0.0237,2016-06-11 09:00:50,71.528,4.7,211000.0
27,0.02376,0.02364,8985.689824619996,1969.9686461299998,0.023671,0.0237,2016-06-11 09:00:58,71.528,4.7,211000.0
28,0.02376,0.02364,8984.974634119995,2026.3686592399997,0.023671,0.0237,2016-06-11 09:01:07,71.528,4.7,211000.0
